address,accountid,updated
Australia and Oceania,838034808,05-02-2014
Australia and Oceania,481714284,12/27/2012
Europe,374083030,7/31/2016
Central America and the Caribbean,329252374,4/15/2014
Asia,231646144,5/22/2015
Central America and the Caribbean,486000669,12/27/2014
Central America and the Caribbean,667364776,11-09-2012
Middle East and North Africa,871099793,2/28/2010
Asia,362879550,08-06-2012
Sub-Saharan Africa,728690373,12/17/2011
Europe,924831092,7/29/2012
North America,427913033,11/20/2011
Europe,584860026,7/22/2012
Middle East and North Africa,562908399,8/28/2010
Europe,499606978,8/22/2014
Asia,152817094,3/16/2011
Europe,250712573,11-11-2014
Sub-Saharan Africa,241779744,07-11-2010
Central America and the Caribbean,544817435,1/22/2011
Europe,298936975,2/19/2015
Central America and the Caribbean,513562190,12/22/2010
Europe,918429410,9/28/2010
Sub-Saharan Africa,413587462,4/17/2016
Central America and the Caribbean,219397675,4/15/2015
Middle East and North Africa,726533877,6/27/2015
Europe,145982396,6/24/2010
Australia and Oceania,359042060,3/26/2014
Europe,167324197,10/27/2010
Sub-Saharan Africa,242752635,06-05-2012
Sub-Saharan Africa,877563703,11/23/2016
Australia and Oceania,634306228,11/24/2011
Australia and Oceania,395841538,05-05-2016
Sub-Saharan Africa,215343463,04-02-2016
Europe,666298329,11/18/2013
Australia and Oceania,592504966,03-04-2016
Sub-Saharan Africa,258074700,01-07-2016
Europe,897431361,04-09-2011
Europe,665311276,11/24/2015
Europe,486763274,02-02-2011
Middle East and North Africa,907148683,08-02-2016
Middle East and North Africa,742141330,8/30/2011
Middle East and North Africa,227727544,10/25/2014
Central America and the Caribbean,570206153,3/29/2011
Sub-Saharan Africa,796188485,5/13/2017
North America,902598369,01-04-2017
Europe,506672132,5/20/2017
Middle East and North Africa,195958602,8/29/2015
Sub-Saharan Africa,178319108,02-03-2010
Sub-Saharan Africa,731927478,3/18/2011
Middle East and North Africa,855270040,05-07-2015
Europe,517145621,05-12-2016
Sub-Saharan Africa,206665551,10/17/2016
Europe,483253657,4/14/2016
Asia,626646268,7/31/2015
Central America and the Caribbean,886892211,07-11-2012
Asia,234352815,1/26/2014
Australia and Oceania,409701907,7/18/2016
Europe,973925817,04-05-2017
Europe,658323371,01-12-2011
Asia,514505898,5/16/2016
Central America and the Caribbean,764397227,03-01-2011
Sub-Saharan Africa,350233685,04-06-2012
Australia and Oceania,984564101,1/20/2011
Asia,400249803,4/21/2015
Sub-Saharan Africa,900464618,08-06-2014
Europe,808694875,11/30/2014
Sub-Saharan Africa,318739402,1/17/2012
Central America and the Caribbean,144709527,03-05-2010
Australia and Oceania,171029078,01-04-2011
Sub-Saharan Africa,802434384,1/31/2017
Europe,713974273,03-04-2013
Asia,901010072,06-10-2015
Central America and the Caribbean,629215610,9/19/2014
Middle East and North Africa,584577214,3/27/2010
Asia,623393714,10-02-2013
Australia and Oceania,222276437,5/30/2015
Australia and Oceania,728149211,01-12-2010
Middle East and North Africa,408248364,7/16/2016
Europe,300122725,02-04-2013
Europe,161633622,09-09-2016
Europe,720954883,5/30/2011
Middle East and North Africa,526572835,9/23/2012
Europe,897286307,07-07-2010
Asia,972206628,2/27/2011
Sub-Saharan Africa,860757625,06-12-2010
Europe,292675626,11-02-2012
Sub-Saharan Africa,868009459,11/21/2012
Europe,207120454,2/17/2013
Australia and Oceania,500682437,11/21/2013
Europe,859681737,6/19/2016
Australia and Oceania,465417182,10/30/2011
Europe,819500100,6/26/2014
Central America and the Caribbean,793854320,10-03-2013
Central America and the Caribbean,680716168,05-07-2015
Middle East and North Africa,842634475,3/17/2014
Asia,362470567,04-05-2014
Asia,193398272,10/16/2016
Europe,908903920,1/31/2016
Australia and Oceania,452786338,11/29/2011
Europe,889156854,1/15/2012
Sub-Saharan Africa,752439296,08-07-2014
Asia,897369992,09-11-2010
Sub-Saharan Africa,448997771,7/17/2011
Sub-Saharan Africa,852683961,7/28/2014
Middle East and North Africa,924102389,1/21/2014
Asia,899239385,5/14/2013
Sub-Saharan Africa,184393775,09-08-2012
Sub-Saharan Africa,506176888,6/16/2013
Central America and the Caribbean,961512553,8/15/2014
Sub-Saharan Africa,267637097,12/21/2015
Sub-Saharan Africa,812099349,5/23/2014
Sub-Saharan Africa,102760636,9/19/2015
Europe,217794787,6/19/2015
Sub-Saharan Africa,155688130,02-10-2010
Sub-Saharan Africa,785239493,02-03-2016
Middle East and North Africa,795560204,02-02-2013
Middle East and North Africa,746074092,11/24/2015
Europe,816517484,5/18/2010
Middle East and North Africa,356939208,12/21/2016
Europe,137700593,03-10-2012
Middle East and North Africa,999475467,3/24/2015
Asia,703250157,12/13/2015
Sub-Saharan Africa,680323493,6/23/2016
Sub-Saharan Africa,182306802,08-06-2012
Sub-Saharan Africa,331123912,10-08-2012
Asia,969011151,11-06-2010
Sub-Saharan Africa,208517348,8/23/2013
Sub-Saharan Africa,282503831,6/29/2013
Central America and the Caribbean,794144427,04-10-2015
Australia and Oceania,966925466,5/22/2017
Europe,994645774,8/19/2015
Sub-Saharan Africa,691416680,1/16/2014
Sub-Saharan Africa,841662013,6/22/2014
Australia and Oceania,950118100,01-08-2012
Europe,591833770,11/25/2013
Asia,762170350,09-12-2013
Asia,726801669,5/23/2017
Central America and the Caribbean,271714055,6/30/2016
Sub-Saharan Africa,153206336,6/25/2015
Europe,747889840,10-11-2011
Europe,702688395,8/20/2015
Europe,984838330,5/28/2015
Europe,831888473,12/19/2011
Sub-Saharan Africa,901700150,01-07-2015
Sub-Saharan Africa,122447192,12-10-2015
Europe,642615926,3/15/2015
Middle East and North Africa,181005179,5/19/2010
Australia and Oceania,576726281,03-02-2015
Australia and Oceania,139203059,05-01-2010
Europe,398171842,6/27/2015
Australia and Oceania,253681457,6/22/2017
Asia,926093232,07-12-2011
Sub-Saharan Africa,106080996,12/25/2012
Central America and the Caribbean,504631078,06-07-2015
Sub-Saharan Africa,403042304,5/29/2017
Sub-Saharan Africa,402926003,12/27/2010
Europe,276206004,8/21/2015
Europe,315118634,3/16/2014
Europe,882212722,1/26/2017
Middle East and North Africa,160349595,9/21/2012
Europe,902703082,03-05-2010
Europe,982759511,04-06-2011
Asia,144317710,8/19/2015
Sub-Saharan Africa,451489007,03-07-2016
Europe,438697230,10-07-2010
Sub-Saharan Africa,960678708,05-06-2013
Middle East and North Africa,242482268,7/17/2012
Europe,629469239,02-07-2013
Middle East and North Africa,937313449,01-03-2017
Asia,502001225,05-01-2012
Asia,529831397,7/21/2014
Sub-Saharan Africa,947415292,02-05-2010
Sub-Saharan Africa,851676738,10/14/2012
North America,759852063,12/21/2014
Middle East and North Africa,359490096,7/14/2013
Sub-Saharan Africa,758452165,4/27/2014
Asia,434912097,11-02-2012
Sub-Saharan Africa,187356221,12/30/2012
Asia,884583365,3/28/2016
Europe,315704858,5/17/2017
Australia and Oceania,840144526,1/21/2016
Asia,837638700,2/28/2013
Australia and Oceania,558236205,04-05-2014
Central America and the Caribbean,772298371,11-11-2010
Europe,520499026,6/17/2014
Sub-Saharan Africa,263824498,1/19/2015
Europe,533573615,10-05-2014
Europe,581357705,12/13/2016
Middle East and North Africa,629100596,10/15/2014
North America,519038617,7/23/2017
Central America and the Caribbean,163720595,8/22/2016
Europe,896007859,02-04-2012
Central America and the Caribbean,519074237,05-12-2016
Central America and the Caribbean,956406056,11-04-2012
Asia,601802146,1/21/2012
Sub-Saharan Africa,169373834,11/21/2010
Sub-Saharan Africa,443544948,12-01-2010
Europe,929051816,12-11-2014
Europe,300943267,1/15/2015
Middle East and North Africa,454580628,07-05-2012
Central America and the Caribbean,655637729,11/26/2012
Asia,690100896,9/27/2015
Central America and the Caribbean,414268958,1/18/2010
Sub-Saharan Africa,204753243,04-06-2016
Middle East and North Africa,508477580,1/27/2014
Europe,492678296,09-05-2014
Europe,294904220,5/22/2011
Europe,573016679,10-04-2013
Sub-Saharan Africa,255189502,6/13/2013
Sub-Saharan Africa,589909017,10/17/2010
Middle East and North Africa,195974051,10/20/2010
Sub-Saharan Africa,912495934,01-05-2012
Middle East and North Africa,148898494,8/17/2010
Europe,334918057,12/22/2010
Middle East and North Africa,370603454,1/14/2015
Australia and Oceania,576316010,05-02-2010
Central America and the Caribbean,442729556,05-08-2012
Sub-Saharan Africa,880830419,09-02-2014
Australia and Oceania,171917426,12/21/2015
Australia and Oceania,717601907,6/24/2015
Europe,489807689,05-12-2010
Europe,680771100,8/14/2013
Sub-Saharan Africa,753040969,10-09-2012
Europe,689478623,08-08-2011
Australia and Oceania,543257892,7/16/2011
Europe,887865102,06-04-2014
Europe,567099082,05-02-2012
Central America and the Caribbean,745071160,4/22/2013
Sub-Saharan Africa,856205165,1/22/2015
Central America and the Caribbean,855237424,7/17/2016
Sub-Saharan Africa,767216765,12/17/2013
Sub-Saharan Africa,237504518,1/20/2012
Europe,781774508,10/18/2012
Asia,836013066,11-06-2011
Europe,706519019,12/19/2016
Sub-Saharan Africa,319903695,11-11-2014
Sub-Saharan Africa,573090922,07-02-2011
Middle East and North Africa,183317029,5/20/2014
Sub-Saharan Africa,638130843,02-03-2013
Sub-Saharan Africa,345393693,05-03-2013
Sub-Saharan Africa,483279407,6/26/2010
Central America and the Caribbean,950274312,4/20/2016
Europe,815177237,10/16/2016
Australia and Oceania,567099511,07-01-2014
Sub-Saharan Africa,765464961,8/17/2016
Central America and the Caribbean,690009915,07-01-2016
Sub-Saharan Africa,590783202,02-04-2012
Asia,338146150,07-08-2017
Sub-Saharan Africa,772772586,02-06-2014
Central America and the Caribbean,555648839,7/26/2014
Sub-Saharan Africa,218073737,6/17/2013
Europe,811658608,2/21/2014
Sub-Saharan Africa,758327281,05-11-2017
Asia,800316083,3/31/2017
Europe,850173842,8/15/2012
Middle East and North Africa,440761888,04-01-2011
Central America and the Caribbean,975254046,06-06-2010
Middle East and North Africa,777136647,2/22/2016
Sub-Saharan Africa,940208518,6/19/2016
Asia,378580987,9/21/2015
Australia and Oceania,776677882,6/25/2015
Central America and the Caribbean,739235532,11-05-2010
Europe,741302764,9/25/2016
Europe,878240907,9/25/2011
Middle East and North Africa,415723788,7/17/2016
Sub-Saharan Africa,939737737,7/13/2015
Europe,506581580,9/26/2012
Europe,392866647,08-06-2013
Sub-Saharan Africa,145516765,12-03-2012
Sub-Saharan Africa,731768262,5/13/2014
Central America and the Caribbean,489169967,3/22/2011
Sub-Saharan Africa,975583207,1/18/2013
Asia,219181811,07-07-2011
Middle East and North Africa,368452107,3/26/2014
Middle East and North Africa,942192924,8/20/2011
Sub-Saharan Africa,179515588,12/25/2016
North America,889843928,6/23/2011
Central America and the Caribbean,102914273,08-02-2014
Europe,318775451,01-03-2013
Sub-Saharan Africa,957788789,04-08-2017
Europe,610628116,04-08-2012
Middle East and North Africa,188279759,08-07-2014
Asia,672042548,12-11-2014
Europe,863527810,12-10-2012
Europe,534659373,3/17/2013
Europe,877673566,06-10-2013
Europe,455119216,6/17/2016
Sub-Saharan Africa,149857652,01-12-2011
Europe,915062701,4/25/2013
Sub-Saharan Africa,624220693,7/26/2010
Central America and the Caribbean,821130454,01-07-2017
Europe,869903314,11-04-2010
Europe,204963099,03-09-2012
Europe,581046140,9/19/2012
Middle East and North Africa,223201262,12-06-2015
North America,576789796,5/31/2011
Europe,457485568,7/27/2016
Asia,101274907,10-11-2011
Sub-Saharan Africa,714456641,05-12-2012
Sub-Saharan Africa,423642098,6/19/2012
Asia,125755107,8/19/2010
Asia,338031995,05-05-2014
Central America and the Caribbean,748021590,3/14/2013
Sub-Saharan Africa,663585221,11/26/2012
Sub-Saharan Africa,362896716,04-03-2016
Central America and the Caribbean,644442403,06-10-2012
Asia,577021110,4/30/2010
Europe,649744164,03-03-2012
Central America and the Caribbean,522035396,03-07-2010
Europe,373631131,10/24/2012
Central America and the Caribbean,454580199,05-06-2010
Europe,635243928,2/26/2017
Europe,856296145,4/19/2014
Europe,678723180,8/19/2014
Central America and the Caribbean,633823859,9/15/2012
Middle East and North Africa,873209512,11/19/2011
Middle East and North Africa,718803966,11/27/2012
North America,912843549,05-07-2017
Europe,467877089,08-01-2016
Australia and Oceania,716765916,12/14/2010
Sub-Saharan Africa,362683856,8/15/2012
Australia and Oceania,429117238,7/24/2012
Central America and the Caribbean,209864890,11-08-2013
Europe,419038140,7/14/2013
Asia,941060817,11/20/2012
Asia,380669248,9/24/2014
Europe,112912261,5/29/2011
Europe,233151185,5/15/2011
Australia and Oceania,907059848,01-08-2013
Europe,120624577,08-05-2015
Europe,430144202,11-03-2015
Asia,412230050,05-03-2011
Central America and the Caribbean,513805949,03-10-2012
Asia,802108228,08-08-2014
Sub-Saharan Africa,514685714,08-10-2011
Europe,309399735,10-02-2012
Europe,914424121,06-03-2017
Sub-Saharan Africa,878245198,10/16/2010
Middle East and North Africa,619661796,11/16/2012
Sub-Saharan Africa,177785241,12-06-2014
Australia and Oceania,562039363,9/26/2012
Sub-Saharan Africa,602160489,1/15/2011
Sub-Saharan Africa,998197448,7/15/2011
Sub-Saharan Africa,270511567,1/15/2017
Europe,609776675,9/28/2012
North America,226979100,10/20/2014
Europe,103417670,4/30/2014
Sub-Saharan Africa,840703713,12/18/2010
Europe,410761058,6/19/2016
Europe,905826032,09-05-2013
Sub-Saharan Africa,888447463,2/16/2013
Asia,341486680,11/15/2010
Asia,218117511,10/13/2015
Australia and Oceania,191826283,09-11-2014
Sub-Saharan Africa,906411826,09-07-2014
Asia,825985467,5/13/2016
Asia,284971034,06-11-2017
Europe,138104856,11/18/2016
Sub-Saharan Africa,410435760,9/26/2010
Europe,747325074,6/18/2011
Sub-Saharan Africa,864446628,4/29/2013
Middle East and North Africa,997786748,02-12-2012
Middle East and North Africa,553644263,9/28/2015
Asia,358630502,6/26/2010
Europe,409669291,03-03-2010
Sub-Saharan Africa,323996961,11-10-2014
Europe,689162337,9/21/2013
Sub-Saharan Africa,813026750,11/18/2012
North America,973764026,01-03-2015
Central America and the Caribbean,169860494,9/15/2016
Central America and the Caribbean,170114982,11-06-2011
Australia and Oceania,563638818,04-04-2010
North America,109855830,9/20/2011
Australia and Oceania,788502347,12/22/2016
Europe,149627196,7/31/2016
Australia and Oceania,763591706,1/24/2017
Sub-Saharan Africa,771069705,11/26/2014
Europe,633047521,02-10-2015
Middle East and North Africa,880823981,5/14/2012
Asia,766010415,08-11-2017
Sub-Saharan Africa,510530650,4/21/2016
Asia,856621015,4/16/2010
Europe,816830337,07-11-2013
Sub-Saharan Africa,824019944,1/26/2011
Sub-Saharan Africa,481363666,3/25/2015
Sub-Saharan Africa,812347829,10/29/2016
Europe,210771262,10/18/2011
Central America and the Caribbean,290745294,10-04-2011
Europe,936693751,11-06-2010
Europe,753352963,08-06-2011
Central America and the Caribbean,215771758,1/23/2014
Sub-Saharan Africa,319311463,7/21/2011
Sub-Saharan Africa,329645907,8/15/2017
Australia and Oceania,932761418,05-07-2016
Europe,184956824,12-04-2011
Sub-Saharan Africa,262843453,3/15/2017
Europe,713345134,2/23/2012
Europe,703698194,04-03-2015
Asia,371451461,5/26/2012
Asia,374466264,01-03-2013
Sub-Saharan Africa,540916430,06-12-2016
Europe,319288289,03-11-2015
Europe,128380668,09-03-2014
Sub-Saharan Africa,907304894,4/17/2013
Europe,965484797,7/21/2014
Australia and Oceania,932656705,8/13/2015
Europe,608869445,6/22/2010
Sub-Saharan Africa,314484345,5/14/2017
Europe,440175235,8/17/2013
Australia and Oceania,996928441,7/23/2015
Europe,266042792,04-07-2014
Middle East and North Africa,649129617,10/29/2016
Europe,118112742,7/25/2012
Central America and the Caribbean,765228497,6/20/2014
Europe,253025710,3/17/2010
Europe,364365708,04-08-2011
Sub-Saharan Africa,252422320,12/14/2010
Middle East and North Africa,490681874,8/30/2011
Middle East and North Africa,822943198,10-05-2012
Sub-Saharan Africa,613317620,11-12-2014
Sub-Saharan Africa,196228969,7/16/2015
Europe,426413571,11/18/2013
Central America and the Caribbean,428920257,09-01-2013
Asia,749110352,10/14/2011
Asia,202657687,6/28/2010
Europe,825548589,01-03-2013
Sub-Saharan Africa,224081885,12/17/2011
Europe,124868905,6/27/2016
Sub-Saharan Africa,524833476,04-06-2010
Sub-Saharan Africa,141211926,10/14/2015
Middle East and North Africa,461553084,10/18/2014
Asia,793718278,04-11-2013
Europe,515881335,03-02-2014
Sub-Saharan Africa,426528584,10/24/2013
Middle East and North Africa,494458854,10-12-2013
Central America and the Caribbean,308783471,6/19/2016
Europe,428926265,10/22/2013
Sub-Saharan Africa,134623563,04-03-2014
Europe,575924193,10/18/2015
Europe,723189485,8/31/2017
Europe,517093265,1/23/2016
Europe,418621861,2/21/2016
Asia,959074103,7/31/2012
Asia,490061318,4/26/2016
Europe,133507335,10/25/2012
Sub-Saharan Africa,631648480,05-09-2011
North America,997033584,11/18/2010
Sub-Saharan Africa,762523972,08-08-2011
Australia and Oceania,431293475,09-02-2010
Central America and the Caribbean,126828420,3/17/2014
Europe,942927634,2/24/2010
Australia and Oceania,893702447,5/25/2010
Central America and the Caribbean,763576686,8/26/2016
Asia,957286679,06-11-2016
Sub-Saharan Africa,149881255,2/16/2017
Asia,236721742,2/26/2012
North America,483481967,1/24/2015
Sub-Saharan Africa,676148259,5/18/2017
Europe,671019446,12/28/2015
Central America and the Caribbean,844706857,1/18/2016
Europe,744134318,5/16/2012
Sub-Saharan Africa,436538159,4/25/2016
Europe,959467208,08-11-2013
Sub-Saharan Africa,270782792,09-04-2013
Europe,898658740,9/29/2015
Sub-Saharan Africa,491581380,7/28/2012
Europe,368349540,11/18/2016
Asia,568074548,1/26/2012
Sub-Saharan Africa,300180232,12-01-2016
Europe,194402921,01-10-2013
Sub-Saharan Africa,950791442,7/15/2017
Sub-Saharan Africa,189707124,7/13/2010
North America,101823794,12-03-2014
Europe,698127782,11-11-2016
Sub-Saharan Africa,259917914,10-02-2014
Sub-Saharan Africa,288805520,10/23/2015
Central America and the Caribbean,556714427,10/13/2016
Sub-Saharan Africa,455880963,10/22/2015
Australia and Oceania,348853957,5/31/2015
Sub-Saharan Africa,218494737,1/28/2012
Europe,117977130,3/31/2014
Central America and the Caribbean,620787465,10-02-2016
Sub-Saharan Africa,570724570,5/24/2011
Sub-Saharan Africa,231899774,10-11-2013
Central America and the Caribbean,838736903,03-09-2014
Europe,545972287,06-09-2011
Europe,278654754,11/15/2016
Sub-Saharan Africa,582145631,8/28/2012
Europe,272118747,10-12-2015
Sub-Saharan Africa,484560430,4/24/2014
Europe,625769507,4/20/2016
Central America and the Caribbean,622357308,08-10-2015
Middle East and North Africa,471247661,11/27/2010
Sub-Saharan Africa,689676892,2/14/2017
Asia,965193831,04-12-2016
Middle East and North Africa,605659806,3/21/2014
Europe,789248645,9/28/2013
Sub-Saharan Africa,514446675,6/21/2011
Australia and Oceania,650052726,04-06-2016
Europe,785178124,07-09-2015
Central America and the Caribbean,579246699,4/23/2016
Central America and the Caribbean,211994779,12-11-2011
Europe,833471190,06-03-2015
Asia,514037263,02-09-2011
Australia and Oceania,994366824,1/23/2010
Europe,935446202,08-01-2017
Sub-Saharan Africa,868574225,3/16/2013
Asia,945362222,06-10-2015
Asia,487734019,03-05-2017
Europe,237925946,10/30/2012
Sub-Saharan Africa,108486831,05-12-2016
Sub-Saharan Africa,532278001,09-06-2012
Middle East and North Africa,212473285,3/29/2014
Europe,172559010,11-12-2011
Europe,606334006,6/27/2016
Europe,427909600,2/26/2017
Sub-Saharan Africa,421709620,7/29/2015
Central America and the Caribbean,992470395,2/18/2014
Asia,815240752,03-06-2013
Europe,885382020,4/21/2013
Europe,468568027,11/30/2012
Europe,250785100,5/21/2011
Europe,988332068,11/23/2012
Europe,357820260,03-02-2015
Europe,606173503,2/25/2013
Europe,900628125,05-11-2010
Sub-Saharan Africa,478732955,5/17/2015
Europe,898349320,11/25/2014
Sub-Saharan Africa,187651050,08-06-2015
Central America and the Caribbean,495124471,07-03-2010
Sub-Saharan Africa,439568412,1/26/2012
Middle East and North Africa,960094201,5/24/2011
Europe,366125667,12/25/2011
Sub-Saharan Africa,187399137,11-10-2010
Europe,223963439,06-10-2017
Asia,796179902,09-06-2011
Sub-Saharan Africa,494722354,10-07-2016
Asia,230577123,01-03-2011
Middle East and North Africa,985043036,8/27/2015
Europe,659731423,1/24/2015
Sub-Saharan Africa,826566112,12/26/2013
Asia,877783429,7/24/2017
Sub-Saharan Africa,275932204,6/15/2013
Europe,803873765,4/16/2013
Middle East and North Africa,714781939,07-08-2010
Asia,582143056,09-07-2014
Middle East and North Africa,149755942,06-08-2010
Sub-Saharan Africa,581731927,3/28/2013
Europe,412494838,3/30/2013
Central America and the Caribbean,496781003,02-10-2017
Middle East and North Africa,859639251,3/13/2013
Sub-Saharan Africa,246430909,12-12-2013
Sub-Saharan Africa,172829806,11/28/2013
Asia,874822270,03-03-2016
Australia and Oceania,858707129,6/26/2013
Australia and Oceania,951095712,01-01-2015
Central America and the Caribbean,248911845,10/28/2011
Sub-Saharan Africa,169391858,06-10-2011
Asia,400084578,9/30/2010
North America,248851335,7/29/2015
Europe,893865954,11/13/2013
Asia,433614766,02-09-2017
Sub-Saharan Africa,636896598,9/23/2011
Asia,192822778,12/24/2014
Sub-Saharan Africa,560817134,8/26/2011
Europe,120615994,8/14/2017
Europe,922268187,08-07-2015
Sub-Saharan Africa,136135041,7/13/2012
Sub-Saharan Africa,402890384,03-09-2012
Europe,383520543,01-02-2012
Sub-Saharan Africa,609324347,5/20/2014
Middle East and North Africa,331913125,12/21/2014
Sub-Saharan Africa,673210704,07-06-2014
Europe,575453412,9/20/2014
Australia and Oceania,851190078,09-06-2014
Sub-Saharan Africa,133282029,03-06-2014
North America,724903094,8/25/2010
Europe,949539601,1/26/2010
Europe,100990378,10/22/2015
Australia and Oceania,693366754,11/23/2016
Middle East and North Africa,811092555,11/28/2014
Europe,858904111,07-07-2012
Europe,411850249,3/18/2017
Australia and Oceania,465292298,11/13/2014
Europe,284904086,4/28/2011
Europe,556671941,07-08-2013
Sub-Saharan Africa,236894690,05-10-2010
Middle East and North Africa,602183663,12/22/2014
Europe,299462687,6/26/2014
Sub-Saharan Africa,295968091,07-11-2012
Europe,729248702,7/19/2017
Europe,457165849,7/13/2016
Europe,207893359,12/31/2015
Europe,329917562,06-03-2016
Asia,342037284,3/29/2015
North America,283363854,2/18/2011
Middle East and North Africa,263321101,03-04-2015
Asia,911645352,10/22/2016
Australia and Oceania,228385436,03-07-2010
